word	frequency	word_lower
If	123141271	if
you	578117187	you
were	457504590	were
to	4223327232	to
journey	6826751	journey
the	9819942513	the
North	24140988	north
of	6162371881	of
England ,	4975314	england ,
England	21443938	england
,	12000289422	,
would	319551796	would
come	69378970	come
a	3213754375	a
valley	4303289	valley
that	1746480437	that
is	1780724214	is
surrounded	4468786	surrounded
by	877228367	by
moors	116892	moors
as	1139819594	as
high	78531970	high
mountains .	839184	mountains .
mountains	5322969	mountains
.	8944977459	.
It	278516683	it
in	3271087682	in
this	599554050	this
where	136128991	where
find	59792457	find
city	32761553	city
Bradford ,	195853	bradford ,
Bradford	737565	bradford
once	44407851	once
thousand	12131335	thousand
spinning	1400425	spinning
jennies	4296	jennies
hummed	184482	hummed
and	4873010095	and
clattered	121477	clattered
spun	1103549	spun
wool	1729913	wool
into	254637739	into
money	37145420	money
for	1388290219	for
long - bearded	3517	long - bearded
long	95494675	long
-	1363915132	-
bearded	458912	bearded
mill	2322536	mill
owners .	606809	owners .
owners	5647846	owners
all	374139462	all
generally	25469457	generally
busy	5424151	busy
beavers	102268	beavers
quite	32424104	quite
pleased	4509512	pleased
with	1110064802	with
themselves	41765392	themselves
being	117515747	being
so	252284174	so
successful	15958427	successful
well	134592416	well
off	72362056	off
was	1140172617	was
known	48608768	known
residents	5484982	residents
go	74237337	go
visit	13227667	visit
stately	511561	stately
Hall ,	3090613	hall ,
Hall	8981738	hall
see	158936043	see
there	243799443	there
Crest	154346	crest
which	508000647	which
those	131352362	those
same	119751381	same
created	22166125	created
celebrate	1801842	celebrate
their	438887121	their
achievements .	303540	achievements .
achievements	2219623	achievements
shows	27219973	shows
sinister	695295	sinister
looking	26020896	looking
boar 's	21230	boar 's
boar	309920	boar
's	820137891	's
head	48252042	head
sitting	10039381	sitting
on	993594775	on
top	26274935	top
seems	30033228	seems
puzzling	570021	puzzling
at	654432238	at
first ,	7336665	first ,
first	172429084	first
but	422070748	but
reason	33557823	reason
symbol	5637294	symbol
matter	36582008	matter
legend .	240620	legend .
legend	2154194	legend
once ,	2853910	once ,
has	336617760	has
it ,	45782268	it ,
fearsome	218485	fearsome
boar ,	60413	boar ,
lived	16317525	lived
wood	8613398	wood
located	11818537	located
just	113263289	just
outside	28641062	outside
manor	448032	manor
Bradford .	45490	bradford .
source	25399984	source
great	69441756	great
trouble	9674701	trouble
local	44984524	local
folk	3479440	folk
was ,	12248583	was ,
bringing	6402128	bringing
terror	3031171	terror
peaceful	2870661	peaceful
flocks	500389	flocks
ravaging	68248	ravaging
countryside	2140605	countryside
around .	3197674	around .
around	66671286	around
Even	24724315	even
worse ,	1427748	worse ,
worse	7891988	worse
however ,	55157770	however ,
however	63540861	however
most	165240742	most
liked	6186837	liked
drink	7737324	drink
its	259806050	its
fresh	9401087	fresh
water ,	7651526	water ,
water	64469088	water
people	149869947	people
had	537932901	had
second	56709426	second
thoughts	10545702	thoughts
about	265782619	about
visiting	3299094	visiting
well .	13489899	well .
bore	2751591	bore
brunt	235149	brunt
beast 's	42999	beast 's
beast	1638186	beast
ferocity	278431	ferocity
unfair	1826688	unfair
eyes	42210806	eyes
region .	3849644	region .
region	22280073	region
Eventually ,	1169620	eventually ,
Eventually	2218786	eventually
issue	26967886	issue
reached	18512983	reached
ears	4866350	ears
kindly	1664380	kindly
Lord	22162117	lord
who	294018466	who
often	74180388	often
asked	46175331	asked
help .	3524817	help .
