word	mean_RT	word_length	word_lower
'Admiral	426.0921052631579	8	'admiral
'Ah	323.9634146341463	3	'ah
'Based	351.98571428571427	6	'based
'Budge	349.49367088607596	6	'budge
'But	341.77647058823527	4	'but
'Come	352.1818181818182	5	'come
'Come,	343.1847826086956	6	'come,
'Do	319.8440860215054	3	'do
'Don't	328.86746987951807	6	'don't
'Except	429.15909090909093	7	'except
'Extraordinary	404.71794871794873	14	'extraordinary
'For	328.28395061728395	4	'for
'General	354.57142857142856	8	'general
'General'	412.97402597402595	9	'general'
'Good	358.9259259259259	5	'good
'Grandmother,'	444.81111111111113	14	'grandmother,'
'Haven't	381.961038961039	8	'haven't
'He'll	331.390243902439	6	'he'll
'He's	384.8333333333333	5	'he's
'How	328.59493670886076	4	'how
'I	328.0168243953733	2	'i
'I'm	340.40562248995985	4	'i'm
'I've	322.8125	5	'i've
'It's	359.9021739130435	5	'it's
'Just	347.8192771084337	5	'just
'Mogul'.	574.9166666666666	8	'mogul'.
'No'.	405.21276595744683	5	'no'.
'No,	338.63157894736844	4	'no,
'Nothing	330.4268292682927	8	'nothing
'O	355.9230769230769	2	'o
'On	332.4698795180723	3	'on
'Or	348.43373493975906	3	'or
'Scratch!'	480.0111111111111	10	'scratch!'
'She	384.72527472527474	4	'she
'Small	357.48192771084337	6	'small
'Someone	406.15384615384613	8	'someone
'That	371.0	5	'that
'The	334.68058968058966	4	'the
'Then	339.5387596899225	5	'then
'This	314.1341463414634	5	'this
'To	334.67123287671234	3	'to
'Tulip	406.44736842105266	6	'tulip
'Was	385.94666666666666	4	'was
'What	329.37109375	5	'what
'What's	339.8536585365854	7	'what's
'Where's	420.0853658536585	8	'where's
'Why	352.63829787234044	4	'why
'With	335.35714285714283	5	'with
'Yes,	359.3777777777778	5	'yes,
'Yes,'	386.72	6	'yes,'
'You	347.47513812154693	4	'you
'You've	435.0843373493976	7	'you've
'You,	325.7984496124031	5	'you,
'admiral',	419.62820512820514	10	'admiral',
'broken'	406.4266666666667	8	'broken'
'confessions'	383.958904109589	13	'confessions'
'flying	386.46938775510205	7	'flying
'fog'.	409.4725274725275	6	'fog'.
'hoover'.	464.1951219512195	9	'hoover'.
'tulip	353.29411764705884	6	'tulip
'witnesses'	398.2916666666667	11	'witnesses'
(purple	366.46835443037975	7	(purple
(red	396.0759493670886	4	(red
(red,	409.50632911392404	5	(red,
A	364.203125	1	a
Abby	342.9594651065608	4	abby
Abby's	389.99795081967216	6	abby's
Abby,	377.59574468085106	5	abby,
Abby.	344.5365853658537	5	abby.
About	356.6914893617021	5	about
According	321.5657894736842	9	according
Accounting	340.88732394366195	10	accounting
Act	354.41333333333336	3	act
Additionally,	418.2972972972973	13	additionally,
Admirals'	408.54545454545456	9	admirals'
Age	396.2641509433962	3	age
Agustin	394.4366197183099	7	agustin
Air	351.3095238095238	3	air
All	332.4263565891473	3	all
Almost	329.67058823529413	6	almost
Although	351.2410071942446	8	although
American	334.35714285714283	8	american
Americans	432.93150684931504	9	americans
An	322.3	2	an
And	325.40793201133147	3	and
And,	331.2899408284024	4	and,
April	393.38961038961037	5	april
Aqua	345.58576642335765	4	aqua
Aqua's	374.1978021978022	6	aqua's
Aqua,	383.09157509157507	5	aqua,
Army	349.0748299319728	4	army
Around	354.2470588235294	6	around
As	331.271375464684	2	as
At	363.3922558922559	2	at
Attempts	383.48	8	attempts
Attention	351.6376811594203	9	attention
Augustus	455.9868421052632	8	augustus
Back	328.54597701149424	4	back
Before	313.91358024691357	6	before
Besides,	337.9340659340659	8	besides,
Bizarden	468.82278481012656	8	bizarden
Boar.	924.1818181818181	5	boar.
Bomb	437.7972972972973	4	bomb
Bradford	360.24455611390283	8	bradford
Bradford,	409.25882352941176	9	bradford,
Bradford.	357.5416666666667	9	bradford.
British	329.90909090909093	7	british
Brown	344.59574468085106	5	brown
Bulbs	373.7763157894737	5	bulbs
Buster	333.96791443850265	6	buster
But	344.6036585365854	3	but
By	372.47852760736197	2	by
CNN	433.43243243243245	3	cnn
Can	316.1170212765957	3	can
Certain	359.77777777777777	7	certain
Charles	388.8322580645161	7	charles
Children	430.0	8	children
City	353.72727272727275	4	city
Commanding	410.6666666666667	10	commanding
Complex	384.05555555555554	7	complex
Compulsive	341.0144927536232	10	compulsive
Confident,	380.0	10	confident,
Correthers,	542.6	11	correthers,
Could	377.24418604651163	5	could
Couleren,	534.6315789473684	9	couleren,
Crest	381.24418604651163	5	crest
Crowds',	399.61538461538464	8	crowds',
Deficit	386.7826086956522	7	deficit
Delusions	400.15384615384613	9	delusions
Despite	337.5405405405405	7	despite
Disorder	362.1231884057971	8	disorder
Do	367.1630434782609	2	do
Down	333.0444444444444	4	down
Dr.	427.125	3	dr.
During	339.820987654321	6	during
Dutch	349.79179810725554	5	dutch
Eighth	377.8378378378378	6	eighth
Elvis	338.7070588235294	5	elvis
Elvis's	353.7259786476868	7	elvis's
Elvis's?'	360.29347826086956	9	elvis's?'
Emperor's	399.5897435897436	9	emperor's
Empire,	414.7848101265823	7	empire,
England,	400.2696629213483	8	england,
Eugene	671.0	6	eugene
Europe	358.60759493670884	6	europe
Even	360.7696629213483	4	even
Eventually,	342.66279069767444	11	eventually,
Exhausted,	400.2637362637363	10	exhausted,
February	423.44871794871796	8	february
Festival	339.3098591549296	8	festival
Field	376.08843537414964	5	field
Flemish	455.9493670886076	7	flemish
Florida	447.9157894736842	7	florida
For	328.8489583333333	3	for
Force	332.75	5	force
Fort	424.05333333333334	4	fort
Fourth	370.1764705882353	6	fourth
Freedom	351.24	7	freedom
French	546.7291666666666	6	french
French,	406.4155844155844	7	french,
Friedman	412.44	8	friedman
From	310.125	4	from
General	338.4932432432432	7	general
Generals'.	369.54545454545456	10	generals'.
Genetic	346.6521739130435	7	genetic
Georges	473.7638888888889	7	georges
Gilles	470.25	6	gilles
Golden	370.6319018404908	6	golden
Good	497.2173913043478	4	good
Group	358.0821917808219	5	group
Hall,	395.39080459770116	5	hall,
Hastened	344.04	8	hastened
He	343.22374100719423	2	he
Her	335.1433962264151	3	her
Higher	362.8611111111111	6	higher
His	367.39606741573033	3	his
House	313.496062992126	5	house
House,	374.1190476190476	6	house,
How	355.6133828996283	3	how
However,	376.11371237458195	8	however,
Hunt	461.6470588235294	4	hunt
Hyperactivity	380.3970588235294	13	hyperactivity
I	323.96395276569297	1	i
I'm	327.10526315789474	3	i'm
I've	311.5121951219512	4	i've
If	352.7014925373134	2	if
In	327.29337094499294	2	in
Incident	372.82894736842104	8	incident
Indeed,	328.5111111111111	7	indeed,
Information	357.93333333333334	11	information
Inside	327.29347826086956	6	inside
Into	366.46629213483146	4	into
It	339.345690747782	2	it
It's	409.9120879120879	4	it's
Jacksonville,	465.66315789473686	13	jacksonville,
January	357.59722222222223	7	january
Jesse	396.8767123287671	5	jesse
Jill	300.7248322147651	4	jill
Jill,	365.67385444743934	5	jill,
Josephs	501.17721518987344	7	josephs
July	366.72685185185185	4	july
June	362.45569620253167	4	june
Karl	444.3382352941176	4	karl
Knowledgeable	409.5211267605634	13	knowledgeable
Later	349.8456375838926	5	later
Leiden	382.1645569620253	6	leiden
Listening	338.2073170731707	9	listening
Lord	304.35584137191853	4	lord
Lord.	307.51190476190476	5	lord.
Lord.'	313.3411764705882	6	lord.'
Lucy	341.0797903319744	4	lucy
Lucy's	369.1220159151194	6	lucy's
Lucy,	363.47682119205297	5	lucy,
Lucy.	399.07894736842104	5	lucy.
Lucy.'	365.3157894736842	6	lucy.'
Mackay	361.11304347826086	6	mackay
Mackay's	347.51973684210526	8	mackay's
Mackay,	337.2597402597403	7	mackay,
Madness	338.46753246753246	7	madness
Maker.	533.945054945055	6	maker.
Manor	309.3181818181818	5	manor
Manor.	312.0118343195266	6	manor.
Many	340.4642857142857	4	many
Marcel,	387.958904109589	7	marcel,
May	338.2597402597403	3	may
Mexico,	365.5131578947368	7	mexico,
Mogul,	368.27536231884056	6	mogul,
Mogul.'	407.77142857142854	7	mogul.'
Mom	331.2083333333333	3	mom
Mom's	346.51807228915663	5	mom's
Mom,	330.2865853658537	4	mom,
Mom.	358.2375	4	mom.
Most	336.9066666666667	4	most
Mr.	338.17297297297296	3	mr.
Much	357.27142857142854	4	much
My	333.0860215053763	2	my
Netherlands,	334.67105263157896	12	netherlands,
Netherlands.	520.3552631578947	12	netherlands.
New	379.08429118773944	3	new
No	356.40384615384613	2	no
No,	334.57471264367814	3	no,
North	365.4943820224719	5	north
Not	340.44444444444446	3	not
November	335.9189189189189	8	november
Now	332.7738095238095	3	now
Now,	330.62666666666667	4	now,
Numerous	348.1232876712329	8	numerous
Obsessive	329.82608695652175	9	obsessive
Of	329.3515151515152	2	of
Office	326.9172413793103	6	office
On	333.6848484848485	2	on
Once	363.84615384615387	4	once
One	361.3843137254902	3	one
Other	335.28834355828224	5	other
Ottoman	423.94871794871796	7	ottoman
Over	362.0933333333333	4	over
Passersby	404.14285714285717	9	passersby
People	369.3783783783784	6	people
Perhaps	344.2083333333333	7	perhaps
Pflock,	401.75	7	pflock,
Plains	332.0285714285714	6	plains
Poor	342.9672131147541	4	poor
Popular	440.9342105263158	7	popular
Presley	345.6736842105263	7	presley
Project	370.1666666666667	7	project
Propagation	405.45454545454544	11	propagation
Properly	448.14285714285717	8	properly
Provinces	373.5	9	provinces
Provinces,	536.2051282051282	10	provinces,
Rather	341.5405405405405	6	rather
Research	377.2133333333333	8	research
Right	350.5421686746988	5	right
Rosen	486.7922077922078	5	rosen
Roswell	342.1021052631579	7	roswell
Roswell,	382.22297297297297	8	roswell,
Samaritan	469.2087912087912	9	samaritan
San	338.2142857142857	3	san
Saturday	402.8804347826087	8	saturday
Secret	316.87142857142857	6	secret
Secretary	307.22535211267603	9	secretary
Seeds	431.94736842105266	5	seeds
Seeing	314.91764705882355	6	seeing
Semper	439.7631578947368	6	semper
September,	386.5394736842105	10	september,
She	330.550641025641	3	she
Simple	415.73793103448276	6	simple
Since	460.16	5	since
So	333.92255125284737	2	so
Some	326.56846473029043	4	some
Soviet	322.67605633802816	6	soviet
Stanton	416.90277777777777	7	stanton
States	390.0135135135135	6	states
Sticky	335.3109017496635	6	sticky
Sticky,	334.4193548387097	7	sticky,
Sticky.	390.0181818181818	7	sticky.
Sticky?'	399.8433734939759	8	sticky?'
Sunday,	347.54945054945057	7	sunday,
That	358.5868983957219	4	that
The	350.50892716068887	3	the
Their	369.2	5	their
Then	336.1293661060802	4	then
Then,	345.8516129032258	5	then,
There	353.4808917197452	5	there
There,	364.3375	6	there,
These	358.76666666666665	5	these
They	343.80120481927713	4	they
This	366.3373134328358	4	this
Those	363.02150537634407	5	those
Though	375.76056338028167	6	though
Through	338.0	7	through
Tics	374.5473684210526	4	tics
Time	386.17808219178085	4	time
To	306.8247011952191	2	to
Together	345.6043956043956	8	together
Top	319.46478873239437	3	top
Tough	468.5869565217391	5	tough
Tourette's	362.33671083398286	10	tourette's
Tourette's,	356.986013986014	11	tourette's,
Tourette's.	674.9923076923077	11	tourette's.
Tourette,	440.8082191780822	9	tourette,
Traders	377.78205128205127	7	traders
Tucked	319.4024390243902	6	tucked
Tulip	511.0122699386503	5	tulip
Tulips	370.88961038961037	6	tulips
Turkey,	421.1794871794872	7	turkey,
UFO	369.1320754716981	3	ufo
UFO,	347.56164383561645	4	ufo,
UFOlogists	403.7260273972603	10	ufologists
UFOs.	406.2162162162162	5	ufos.
US	413.82608695652175	2	us
United	376.79399141630904	6	united
University	354.1375	10	university
Usually,	439.3734939759036	8	usually,
Violetten	533.7051282051282	9	violetten
We	304.2340425531915	2	we
When	361.07889546351083	4	when
Why	327.2967032967033	3	why
Within	321.56382978723406	6	within
Worth.	408.1506849315069	6	worth.
Yard.	442.5833333333333	5	yard.
Year's	495.258064516129	6	year's
Year's,	368.85714285714283	7	year's,
You	323.20703125	3	you
a	329.5409121774559	1	a
able	304.4884393063584	4	able
about	339.0815752461322	5	about
about.	324.0752688172043	6	about.
above	333.4078212290503	5	above
absolute	331.1857142857143	8	absolute
abusive	360.46666666666664	7	abusive
accidents	399.2957746478873	9	accidents
accompanied	397.5	11	accompanied
accord,	403.59090909090907	7	accord,
according	343.9718309859155	9	according
account	314.59119496855345	7	account
account,	357.38961038961037	8	account,
accounts	327.7292817679558	8	accounts
accounts,	363.3474178403756	9	accounts,
accumulated	335.7741935483871	11	accumulated
accusingly.	391.7710843373494	11	accusingly.
ace	372.1931818181818	3	ace
achieve	309.05333333333334	7	achieve
achievement	294.26666666666665	11	achievement
achievements.	419.1860465116279	13	achievements.
acquiesced	427.010989010989	10	acquiesced
acres	335.5128205128205	5	acres
across	337.30324909747293	6	across
activities.	399.93055555555554	11	activities.
actual	378.22222222222223	6	actual
actually	330.5940170940171	8	actually
add	324.8780487804878	3	add
added,	335.6842105263158	6	added,
addition	326.6125	8	addition
additional	417.76056338028167	10	additional
admitted	318.42105263157896	8	admitted
adulthood	344.71830985915494	9	adulthood
adulthood.	367.97278911564626	10	adulthood.
advance	318.9642857142857	7	advance
affected	325.98604651162793	8	affected
affording	383.61842105263156	9	affording
afraid,	428.67391304347825	7	afraid,
after	371.5804195804196	5	after
again	345.9114285714286	5	again
again,	352.02272727272725	6	again,
again.	321.7951807228916	6	again.
against	312.44736842105266	7	against
ages	375.027397260274	4	ages
ago	316.5111111111111	3	ago
ago,	370.5394736842105	4	ago,
ago.	334.5345911949685	4	ago.
agree	308.048275862069	5	agree
aimed	316.62857142857143	5	aimed
air	370.33078393881453	3	air
air,	352.25274725274727	4	air,
alien	354.35593220338984	5	alien
aliens	313.848623853211	6	aliens
aliens,	349.9793103448276	7	aliens,
aliens.	356.64383561643837	7	aliens.
alive,	345.8082191780822	6	alive,
all	319.9286406199548	3	all
all,	353.7692307692308	4	all,
all.	313.94505494505495	4	all.
alleged	408.11333333333334	7	alleged
allergies.	403.01408450704224	10	allergies.
allowed	306.19642857142856	7	allowed
almost	335.7586705202312	6	almost
