word	mean_RT	word_length	word_lower	frequency	neg_log_prob	pred1	pred2	word_type	lemma	lemma_freq	lemma_length	log_frequency	log_lemma_freq
Age	396.2641509433962	3	age	7241100	0.01257232358	340.5813743595922	338.64589812785937	content	age	7241100	3	15.795283824623356	15.795283824623356
An	322.3	2	an	576832090	0.0085174007	341.9991875641167	340.4123301681141	function	an	576832090	2	20.173061778656443	20.173061778656443
And	325.40793201133147	3	and	4873010095	0.009955103	334.2494742706746	338.6446750024872	function	and	4873010095	3	22.306977672629973	22.306977672629973
As	331.271375464684	2	as	1139819594	0.00017985563	341.26656325944873	340.40843372048766	function	a	1139819594	1	20.85413583682996	20.85413583682996
But	344.6036585365854	3	but	422070748	2.0598233	340.04155015343775	339.6026553196894	function	but	422070748	3	19.860683509607085	19.860683509607085
By	372.478527607362	2	by	877228367	0.429618045	341.6082772650455	340.60912629841704	function	by	877228367	2	20.59227791324639	20.59227791324639
Do	367.1630434782609	2	do	256960172	3.8209935	342.4154418145975	342.1940432891228	function	do	256960172	2	19.364431661978983	19.364431661978983
For	328.8489583333333	3	for	1388290219	2.2483124941750003	338.7841938834164	339.6907433920295	function	for	1388290219	3	21.05133876939331	21.05133876939331
General	338.4932432432432	7	general	24695243	2.586821545	331.9225381059753	332.7756331405471	content	general	24695243	7	17.02212123245067	17.02212123245067
Good	497.2173913043478	4	good	99518711	5.1668286	338.30226135685905	339.2863484098633	content	good	99518711	4	18.415856244749207	18.415856244749207
He	343.22374100719423	2	he	239125461	3.6696123	342.43865039854035	342.12329717471084	function	he	239125461	2	19.292498917766736	19.292498917766736
How	355.6133828996283	3	how	42231777	3.81566955	340.5358404530226	340.4232281496865	function	how	42231777	3	17.558683528794372	17.558683528794372
I	323.96395276569297	1	i	926120510	1.4794690250666669	343.70368389396117	342.8680881084803	function	i	926120510	1	20.64651492561147	20.64651492561147
In	327.29337094499294	2	in	3271087682	0.1618550225	338.4931112912641	340.483990591836	function	in	3271087682	2	21.908388391318862	21.908388391318862
It	339.345690747782	2	it	278516683	1.7060473365	342.3873899950274	341.2056495965232	function	it	538322733	2	19.44498852218001	20.103968815595
No	356.40384615384613	2	no	236436100	1.6675656	342.4421501054053	341.1876656372654	function	no	236436100	2	19.281188543342925	19.281188543342925
On	333.6848484848485	2	on	993594775	6.653541	341.45684786716015	343.5177990098622	function	on	993594775	2	20.716840011480713	20.716840011480713
One	361.3843137254902	3	one	398913374	2.46328875	340.07168520067086	339.7912098620433	content	one	414987663	3	19.80425484602022	19.84375935245196
She	330.550641025641	3	she	278699382	1.9898528	340.22812151883886	339.5699554798251	function	she	278699382	3	19.44564427859971	19.44564427859971
That	358.5868983957219	4	that	1746480437	3.9413114	336.1590447121685	338.7136182422794	function	that	1746480437	4	21.280868421461346	21.280868421461346
The	350.50892716068887	3	the	9819942513	3.2484827199999997	327.8119549701095	340.15816046381696	function	the	9819942513	3	23.007681105324163	23.007681105324163
Then	336.1293661060802	4	then	39430787	4.8234547999999995	338.3804546972559	339.12587695012536	function	then	39430787	4	17.490057490437277	17.490057490437277
This	366.3373134328358	4	this	599554050	4.97292	337.65155767348864	339.1957276458512	function	this	599554050	4	20.211696688501107	20.211696688501107
To	306.8247011952191	2	to	4223327232	8.181994	337.2539473076242	344.2321024425959	function	to	4223327232	2	22.163889098174632	22.163889098174632
US	413.82608695652175	2	us	108913586	0.044053305	342.6080971157474	340.42893742946063	function	u	108913586	1	18.5060653459608	18.5060653459608
Why	327.2967032967033	3	why	37439826	1.7818108	340.5420762926184	339.4727296477238	content	why	37439826	3	17.438245588836494	17.438245588836494
You	323.20703125	3	you	578117187	2.0534523	339.8384845204423	339.59967791235664	function	you	578117187	3	20.17528715349102	20.17528715349102
able	304.4884393063584	4	able	42495598	1.101755946991	338.3764664115269	337.38658744216843	content	able	42495598	4	17.564911075591493	17.564911075591493
after	371.5804195804196	5	after	131123106	0.0013514466	336.10210334401137	335.1040000753465	function	after	131123106	5	18.691647187970236	18.691647187970236
away	309.32608695652175	4	away	56906743	4.402987	338.3577129667167	338.92937657170745	content	away	56906743	4	17.85692441579901	17.85692441579901
be	326.5051490514905	2	be	964072174	5.6015251500000005	341.49526608226427	343.0261525327083	function	be	964072174	2	20.686676720104128	20.686676720104128
bed	321.577868852459	3	bed	17264116	0.00093624304	340.56833125459343	338.6404601508504	content	bed	17264116	3	16.66414074356552	16.66414074356552
bird	333.5327399872854	4	bird	4823924	0.86399317	338.4254891407595	337.27547197588916	content	bird	4823924	4	15.389098470004617	15.389098470004617
called	337.66568914956014	6	called	69300306	0.004221427	334.0235235780833	333.3370142670131	content	called	69300306	6	18.05395989416475	18.05395989416475
clear	341.7534626038781	5	clear	35415613	0.0052483277	336.22664897781755	335.10582123409114	content	clear	35415613	5	17.382663354306032	17.382663354306032
come	318.9005988023952	4	come	69378970	3.7740211	338.3414826657444	338.63543720854585	content	come	69378970	4	18.055094368032385	18.055094368032385
drops	327.67808219178085	5	drops	2565401	3.3908327500000004	336.26939746433584	336.6880318579432	content	drop	2565401	4	14.757625749453103	14.757625749453103
extra	312.2926829268293	5	extra	7759192	0.019413084	336.2626387041628	335.1124409561558	content	extra	7759192	5	15.864388891906202	15.864388891906202
flying	325.70359281437123	6	flying	4200420	0.024264254	334.1082390617767	333.3463810320545	content	flying	4200420	6	15.250695316325332	15.250695316325332
four	352.3695652173913	4	four	49087752	1.9979209	338.3678879400578	337.8053989478084	content	four	49087752	4	17.709120131916745	17.709120131916745
hand	297.7303370786517	4	hand	63081980	0.086187564	338.34967703575705	336.9119742338158	content	hand	63081980	4	17.95994572413163	17.95994572413163
is	332.0757058641018	2	is	1780724214	0.001365056	340.43254421240067	340.40898760908794	function	is	1780724214	2	21.300285980863908	21.300285980863908
its	325.5936739659367	3	its	259806050	3.5477948e-05	340.2527077025837	338.6400391895272	content	it	538322733	2	19.375445952922615	20.103968815595
just	308.6138996138996	4	just	113263289	5.2745786	338.284375325946	339.3367040275218	content	just	113263289	4	18.545225666435705	18.545225666435705
king	370.8857142857143	4	king	13253011	2.0203092586666664	338.4145202401028	337.8158618677993	content	king	13253011	4	16.399735405317774	16.399735405317774
less	331.12587412587413	4	less	66492927	0.023964364	338.34523831792336	336.8828949979114	content	less	66492927	4	18.012606154106297	18.012606154106297
lights	359.68888888888887	6	lights	4876964	0.0052859564	334.1073586646559	333.3375117615417	content	light	4876964	5	15.400033658123482	15.400033658123482
like	317.5154304277206	4	like	167991828	0.499537408	338.21315623574327	337.1051481243372	content	like	167991828	4	18.939425899279957	18.939425899279957
