word_x	mean_RT	word_length	word_lower	word_y	frequency
A	364.203125	1	a	a	3213754375
Abby	342.9594651065608	4	abby	Abby	596695
About	356.6914893617021	5	about	about	265782619
According	321.5657894736842	9	according	according	23748845
Accounting	340.88732394366195	10	accounting	Accounting	1871888
Act	354.41333333333336	3	act	Act	23543949
Age	396.2641509433962	3	age	Age	7241100
Agustin	394.4366197183099	7	agustin	Agustin	95773
Air	351.3095238095238	3	air	air	31277584
All	332.4263565891473	3	all	all	374139462
Almost	329.67058823529413	6	almost	Almost	2698955
Although	351.2410071942446	8	although	Although	34293908
American	334.35714285714283	8	american	American	77574577
Americans	432.93150684931504	9	americans	Americans	15038710
An	322.3	2	an	an	576832090
And	325.40793201133147	3	and	and	4873010095
April	393.38961038961037	5	april	April	17677275
Aqua	345.58576642335765	4	aqua	Aqua	93158
Army	349.0748299319728	4	army	Army	8591041
Around	354.2470588235294	6	around	around	66671286
As	331.271375464684	2	as	as	1139819594
At	363.3922558922559	2	at	at	654432238
Attempts	383.48	8	attempts	Attempts	547677
Attention	351.6376811594203	9	attention	Attention	813466
Augustus	455.9868421052632	8	augustus	Augustus	1031445
Back	328.54597701149424	4	back	back	107859495
Before	313.91358024691357	6	before	before	114226587
Bizarden	468.82278481012656	8	bizarden	Bizarden	0
Bomb	437.7972972972973	4	bomb	Bomb	315135
Bradford	360.24455611390283	8	bradford	Bradford	737565
British	329.90909090909093	7	british	British	31315885
Brown	344.59574468085106	5	brown	Brown	9564348
Bulbs	373.7763157894737	5	bulbs	bulbs	585748
Buster	333.96791443850265	6	buster	Buster	233013
But	344.6036585365854	3	but	but	422070748
By	372.47852760736197	2	by	by	877228367
CNN	433.43243243243245	3	cnn	CNN	468768
Can	316.1170212765957	3	can	can	416290431
Certain	359.77777777777777	7	certain	certain	43746770
Charles	388.8322580645161	7	charles	Charles	14871871
Children	430.0	8	children	Children	8802055
City	353.72727272727275	4	city	city	32761553
Commanding	410.6666666666667	10	commanding	Commanding	207348
Complex	384.05555555555554	7	complex	complex	23142510
Compulsive	341.0144927536232	10	compulsive	Compulsive	89300
Could	377.24418604651163	5	could	could	205904563
Crest	381.24418604651163	5	crest	Crest	154346
Deficit	386.7826086956522	7	deficit	Deficit	250805
Delusions	400.15384615384613	9	delusions	Delusions	57729
Despite	337.5405405405405	7	despite	Despite	8358374
Disorder	362.1231884057971	8	disorder	disorder	6963580
Do	367.1630434782609	2	do	do	256960172
Down	333.0444444444444	4	down	down	98751710
Dr.	427.125	3	dr.	Dr.	15950051
During	339.820987654321	6	during	During	17869601
Dutch	349.79179810725554	5	dutch	Dutch	5482640
Eighth	377.8378378378378	6	eighth	eighth	1871957
Elvis	338.7070588235294	5	elvis	Elvis	650069
Eugene	671.0	6	eugene	Eugene	1514603
Europe	358.60759493670884	6	europe	Europe	22628420
Even	360.7696629213483	4	even	Even	24724315
February	423.44871794871796	8	february	February	13102292
Festival	339.3098591549296	8	festival	Festival	1503065
Field	376.08843537414964	5	field	field	35280381
Flemish	455.9493670886076	7	flemish	Flemish	424825
Florida	447.9157894736842	7	florida	Florida	5211391
For	328.8489583333333	3	for	for	1388290219
Force	332.75	5	force	Force	4823146
Fort	424.05333333333334	4	fort	Fort	4331192
Fourth	370.1764705882353	6	fourth	Fourth	3129893
Freedom	351.24	7	freedom	Freedom	2877633
French	546.7291666666666	6	french	French	26321301
Friedman	412.44	8	friedman	Friedman	1242691
From	310.125	4	from	from	708532803
General	338.4932432432432	7	general	General	24695243
Genetic	346.6521739130435	7	genetic	Genetic	1362196
Georges	473.7638888888889	7	georges	Georges	868195
Gilles	470.25	6	gilles	Gilles	301525
Golden	370.6319018404908	6	golden	golden	4031891
Good	497.2173913043478	4	good	good	99518711
Group	358.0821917808219	5	group	Group	11160043
Hastened	344.04	8	hastened	Hastened	2541
He	343.22374100719423	2	he	He	239125461
Her	335.1433962264151	3	her	her	415597541
Higher	362.8611111111111	6	higher	Higher	2286590
His	367.39606741573033	3	his	his	632876249
House	313.496062992126	5	house	House	19438505
How	355.6133828996283	3	how	How	42231777
Hunt	461.6470588235294	4	hunt	Hunt	1641880
Hyperactivity	380.3970588235294	13	hyperactivity	hyperactivity	348828
I	323.96395276569297	1	i	I	926120510
If	352.7014925373134	2	if	If	123141271
In	327.29337094499294	2	in	in	3271087682
Incident	372.82894736842104	8	incident	Incident	368942
Information	357.93333333333334	11	information	Information	10601544
Inside	327.29347826086956	6	inside	Inside	2042827
Into	366.46629213483146	4	into	into	254637739
It	339.345690747782	2	it	It	278516683
January	357.59722222222223	7	january	January	16220794
Jesse	396.8767123287671	5	jesse	Jesse	1260434
Jill	300.7248322147651	4	jill	Jill	948278
Josephs	501.17721518987344	7	josephs	Josephs	34246
July	366.72685185185185	4	july	July	18277074
June	362.45569620253167	4	june	June	20075593
Karl	444.3382352941176	4	karl	Karl	2749584
Knowledgeable	409.5211267605634	13	knowledgeable	Knowledgeable	28654
Later	349.8456375838926	5	later	later	55784164
Leiden	382.1645569620253	6	leiden	Leiden	841040
Listening	338.2073170731707	9	listening	Listening	670303
Lord	304.35584137191853	4	lord	Lord	22162117
Lucy	341.0797903319744	4	lucy	Lucy	2248764
Mackay	361.11304347826086	6	mackay	Mackay	267095
Madness	338.46753246753246	7	madness	Madness	251550
Manor	309.3181818181818	5	manor	manor	448032
Many	340.4642857142857	4	many	many	138917121
May	338.2597402597403	3	may	may	231873651
Mom	331.2083333333333	3	mom	mom	2069091
Most	336.9066666666667	4	most	most	165240742
Mr.	338.17297297297296	3	mr.	Mr.	29597778
Much	357.27142857142854	4	much	much	116385957
My	333.0860215053763	2	my	my	230745730
New	379.08429118773944	3	new	New	115330984
No	356.40384615384613	2	no	no	236436100
North	365.4943820224719	5	north	North	24140988
Not	340.44444444444446	3	not	not	1006314753
November	335.9189189189189	8	november	November	14535630
Now	332.7738095238095	3	now	Now	27643142
Numerous	348.1232876712329	8	numerous	Numerous	889828
Obsessive	329.82608695652175	9	obsessive	Obsessive	98879
Of	329.3515151515152	2	of	of	6162371881
Office	326.9172413793103	6	office	office	24308787
On	333.6848484848485	2	on	on	993594775
Once	363.84615384615387	4	once	once	44407851
One	361.3843137254902	3	one	one	398913374
Other	335.28834355828224	5	other	other	281661595
Ottoman	423.94871794871796	7	ottoman	Ottoman	1673536
Over	362.0933333333333	4	over	over	162192656
Passersby	404.14285714285717	9	passersby	Passersby	7977
People	369.3783783783784	6	people	people	149869947
Perhaps	344.2083333333333	7	perhaps	perhaps	27788792
Plains	332.0285714285714	6	plains	Plains	1061092
Poor	342.9672131147541	4	poor	Poor	2991936
Popular	440.9342105263158	7	popular	popular	17347904
Presley	345.6736842105263	7	presley	Presley	256517
Project	370.1666666666667	7	project	Project	6571982
Propagation	405.45454545454544	11	propagation	Propagation	296329
Properly	448.14285714285717	8	properly	Properly	159761
Provinces	373.5	9	provinces	Provinces	508113
Rather	341.5405405405405	6	rather	rather	55879237
Research	377.2133333333333	8	research	research	44020920
Right	350.5421686746988	5	right	Right	6699265
Rosen	486.7922077922078	5	rosen	Rosen	688459
Roswell	342.1021052631579	7	roswell	Roswell	132501
Samaritan	469.2087912087912	9	samaritan	Samaritan	305307
San	338.2142857142857	3	san	San	13788000
Saturday	402.8804347826087	8	saturday	Saturday	4006925
Secret	316.87142857142857	6	secret	secret	8933332
Secretary	307.22535211267603	9	secretary	Secretary	6886403
Seeds	431.94736842105266	5	seeds	seeds	3806247
Seeing	314.91764705882355	6	seeing	Seeing	1191200
Semper	439.7631578947368	6	semper	Semper	54537
She	330.550641025641	3	she	she	278699382
Simple	415.73793103448276	6	simple	simple	25423655
Since	460.16	5	since	since	58545854
So	333.92255125284737	2	so	so	252284174
Some	326.56846473029043	4	some	Some	38265923
Soviet	322.67605633802816	6	soviet	Soviet	14092223
Stanton	416.90277777777777	7	stanton	Stanton	747435
States	390.0135135135135	6	states	States	51806313
Sticky	335.3109017496635	6	sticky	Sticky	63728
That	358.5868983957219	4	that	that	1746480437
The	350.50892716068887	3	the	the	9819942513
Their	369.2	5	their	their	438887121
Then	336.1293661060802	4	then	Then	39430787
There	353.4808917197452	5	there	there	243799443
These	358.76666666666665	5	these	these	212323984
They	343.80120481927713	4	they	they	418953705
This	366.3373134328358	4	this	this	599554050
Those	363.02150537634407	5	those	those	131352362
Though	375.76056338028167	6	though	though	52696046
Through	338.0	7	through	through	147254130
Tics	374.5473684210526	4	tics	tics	158923
Time	386.17808219178085	4	time	time	252986157
To	306.8247011952191	2	to	to	4223327232
Together	345.6043956043956	8	together	together	43957560
Top	319.46478873239437	3	top	top	26274935
Tough	468.5869565217391	5	tough	Tough	227647
Traders	377.78205128205127	7	traders	Traders	191586
Tucked	319.4024390243902	6	tucked	Tucked	43216
Tulip	511.0122699386503	5	tulip	Tulip	66181
Tulips	370.88961038961037	6	tulips	tulips	135025
UFO	369.1320754716981	3	ufo	UFO	261836
UFOlogists	403.7260273972603	10	ufologists	UFOlogists	1746
US	413.82608695652175	2	us	us	108913586
United	376.79399141630904	6	united	United	54810382
University	354.1375	10	university	University	67931680
Violetten	533.7051282051282	9	violetten	Violetten	75
We	304.2340425531915	2	we	we	340770885
When	361.07889546351083	4	when	when	249000060
Why	327.2967032967033	3	why	why	37439826
Within	321.56382978723406	6	within	Within	6298400
You	323.20703125	3	you	you	578117187
able	304.4884393063584	4	able	able	42495598
above	333.4078212290503	5	above	above	47783304
absolute	331.1857142857143	8	absolute	absolute	8009591
abusive	360.46666666666664	7	abusive	abusive	930149
accidents	399.2957746478873	9	accidents	accidents	1947982
accompanied	397.5	11	accompanied	accompanied	6335492
account	314.59119496855345	7	account	account	30598675
accounts	327.7292817679558	8	accounts	accounts	10277652
accumulated	335.7741935483871	11	accumulated	accumulated	2139868
ace	372.1931818181818	3	ace	ace	369113
achieve	309.05333333333334	7	achieve	achieve	11214067
achievement	294.26666666666665	11	achievement	achievement	5157662
acquiesced	427.010989010989	10	acquiesced	acquiesced	193970
acres	335.5128205128205	5	acres	acres	2916394
across	337.30324909747293	6	across	across	33682916
actual	378.22222222222223	6	actual	actual	16047083
actually	330.5940170940171	8	actually	actually	22550287
add	324.8780487804878	3	add	add	13812708
addition	326.6125	8	addition	addition	27829047
additional	417.76056338028167	10	additional	additional	17480447
admitted	318.42105263157896	8	admitted	admitted	5728725
adulthood	344.71830985915494	9	adulthood	adulthood	1240638
