word	mean_RT	word_length	word_lower	frequency	neg_log_prob	pred1	pred2	word_type
Age	396.2641509433962	3	age	7241100	0.01257232358	340.5813743595922	338.64589812785937	content
An	322.3	2	an	576832090	0.0085174007	341.9991875641167	340.4123301681141	function
And	325.40793201133147	3	and	4873010095	0.009955103	334.2494742706746	338.6446750024872	function
As	331.271375464684	2	as	1139819594	0.00017985563	341.26656325944873	340.40843372048766	function
But	344.6036585365854	3	but	422070748	2.0598233	340.04155015343775	339.6026553196894	function
By	372.478527607362	2	by	877228367	0.429618045	341.6082772650455	340.60912629841704	function
Do	367.1630434782609	2	do	256960172	3.8209935	342.4154418145975	342.1940432891228	function
For	328.8489583333333	3	for	1388290219	2.2483124941750003	338.7841938834164	339.6907433920295	function
General	338.4932432432432	7	general	24695243	2.586821545	331.9225381059753	332.7756331405471	content
Good	497.2173913043478	4	good	99518711	5.1668286	338.30226135685905	339.2863484098633	content
He	343.22374100719423	2	he	239125461	3.6696123	342.43865039854035	342.12329717471084	function
How	355.6133828996283	3	how	42231777	3.81566955	340.5358404530226	340.4232281496865	function
I	323.96395276569297	1	i	926120510	1.4794690250666667	343.70368389396117	342.8680881084803	function
In	327.29337094499294	2	in	3271087682	0.1618550225	338.4931112912641	340.483990591836	function
It	339.345690747782	2	it	278516683	1.7060473365	342.3873899950274	341.2056495965232	function
No	356.40384615384613	2	no	236436100	1.6675656	342.4421501054053	341.1876656372654	function
On	333.6848484848485	2	on	993594775	6.653541	341.45684786716015	343.5177990098622	function
One	361.3843137254902	3	one	398913374	2.4632887500000002	340.07168520067086	339.7912098620433	content
She	330.550641025641	3	she	278699382	1.9898528	340.22812151883886	339.5699554798251	function
That	358.5868983957219	4	that	1746480437	3.9413114	336.1590447121685	338.7136182422794	function
The	350.50892716068887	3	the	9819942513	3.2484827199999997	327.8119549701095	340.15816046381696	function
Then	336.1293661060802	4	then	39430787	4.8234547999999995	338.3804546972559	339.12587695012536	function
This	366.3373134328358	4	this	599554050	4.97292	337.65155767348864	339.1957276458512	function
To	306.8247011952191	2	to	4223327232	8.181994	337.2539473076242	344.2321024425959	function
US	413.82608695652175	2	us	108913586	0.044053305	342.6080971157474	340.42893742946063	function
Why	327.2967032967033	3	why	37439826	1.7818108	340.5420762926184	339.4727296477238	content
You	323.20703125	3	you	578117187	2.0534523	339.8384845204423	339.59967791235664	function
able	304.4884393063584	4	able	42495598	1.101755946991	338.3764664115269	337.38658744216843	content
after	371.5804195804196	5	after	131123106	0.0013514466	336.10210334401137	335.1040000753465	function
